流速	流速，是流体的流动速度。
排队	排队（Queue），是有目的地一个跟一个的列队。人类社会中，一般认为排队是文明的表现。
蝉纹	蝉纹是青铜器众多纹饰中的一种。 蝉纹的分类 无足蝉纹 无足蝉纹，在蝉纹中占相当一部分。
算缗	算缗（缗：注音ㄇㄧㄣˊ，汉语拼音mín）是中国西汉前期征收的一种财产税，主要针对商人。
索国	索国是中国史书《周书》与《北史》中记载的古突厥先祖曾经建立的国家，大致位置在匈奴之北。
角岩	角岩（ Hornfels ）是一组接触变质岩的组名，是和火成岩接触而造成的高温变质岩。
乃缦	乃缦（נַעֲמָן）是约兰执政时期的亚兰国的元帅，记载于《塔纳赫·列王纪下》第五章。
张性	张性（Tonicity）是形容半透膜内和半透膜外的渗透压比例、溶质浓度比例及水势比例。
界画	界画是中国画的一种，即在作画时使用界尺引线，用以画建筑等物。最著名的界画为清明上河图。
尚侍	尚侍（ないしのかみ），原本是内侍司的最高长官，负责奏请、传宣一职，最早是从五位的散职。
蓬图	蓬图（Pontoux，pɔ̃tu）是法国索恩-卢瓦尔省的一个市镇，属于索恩河畔沙隆区。
圣兰	圣兰（Saint-Lin，sɛ̃ lɛ̃）是法国德塞夫勒省的一个市镇，属于帕尔特奈区。
篁村	篁村是江西省上饶市婺源县（旧属安徽省徽州府）沱川乡的一个古村落。余姓的聚居地和发源地。
约道	约道（York Road）是香港九龙九龙塘一条道路，是高尚住宅区，沿道建有独立式洋房。
虎蛇	虎蛇（学名：Notechis scutatus ）是爬虫类有鳞目眼镜蛇科下的一个种属。
世侯	世侯是金元之际中原汉地武装割势力的称谓。元世祖忽必烈上台后逐渐削弱其权，世侯从而消失。
怪火	怪火是指大气中出现的成因不明的火光，包括鬼火、人魂等。这种现象通常发生在潮湿的环境中。
黎姓	黎姓是一个汉姓，在《百家姓》中排名第262位。2013年版《中国四百大姓》排名第82。
火攻	火攻是冷兵器军事时代一种战术，即人为造成对方营地火灾或将对方军队引入可能被点火的陷阱。
费康	费康（Fécamp，fekɑ̃）是法国诺曼底大区滨海塞纳省的一个市镇，属于勒阿弗尔区。
白茶	白茶是指一种采摘后，不经过杀青或揉捻，只经过日晒或文火干燥后所制成的茶叶。白茶白毫显露。
榜样	榜样是指若某个人的行为值得被其他人或经常被其他人尤其是年轻人所效仿，那么这个人就是榜样。
黄屋	黄屋是香港一座唐楼，位于香港岛湾仔庆云街2号至8号双数门牌，现已被列为香港三级历史建筑。
丰川	丰川是流经爱知县东部的丰川水系之主流，指定为一级河川。和宇连川合流以北的部分别名寒狭川。
阿忒	阿忒（希腊语：ἄτη，拉丁语：Até）是希腊神话中的一位古老的女神，是邪恶和谬误的化身。
飞兔	飞兔，是中国传说的异兽，生活在天池之山,像兔子,能用自己背上的毛来飞。另说传说中的马名。
罗劳	罗劳（德语：Marktgemeinde Rohrau）是一个位于奥地利下奥地利州的村庄。
古墓	古墓，是指古代坟墓，其中有很多有价值的宝物作为陪葬品，很多古墓还有机关。古墓亦称作古冢。
小结	小结，是日本大相扑力士中第七级，也是三役中最低一级。小结的字面意思是两个力士之间的对决。
舍人	舍人，是中国古代官职。贵族家里左右亲信或门客，后来成为官职，前冠以头衔，名称及职权不同。
供水	供水是指通过公共设施、商业组织、社区努力或个人提供水资源，水的输送通常是通过水泵和管道。
三筋	三筋是东京都台东区的地名，分一丁目与二丁目。2013年8月1日为止的人口有3,966人。
嘉宁	嘉宁（346年十月-347年三月）是十六国时期成汉政权汉末主李势的第二个年号，共计2年。
熊津	熊津（웅진）是百济中期的首都名字，它的位置在今天韩国公州市，位于首都首尔以南150公里。
耒水	耒水，又名耒河，是湘江流量最大、流程最长的支流。因源于耒山（今汝城县乌龙白骑山）而得名。
潘延	潘延，艺名“豆豆”，江苏南京人，是上海文化广播影视集团文艺频道主持人，主要主持少儿节目。
小目	小目是围棋棋盘上第三线和第四线的交叉点，一个角落有两个，整个棋盘中共有八个位置称作小目。
整性	整性是交换代数中的概念，用于描述在有理数域的某些扩域中，某些元素是否有类似于整数的性质。
燕顺	燕顺，是《水浒传》人物，山东莱州人氏，生得膀大腰圆，赤发黄须，眼若铜铃，人称「锦毛虎」。
连翘	连翘（学名：Forsythia suspensa），香港俗称一串金，是木犀科连翘属植物。
率然	率然，亦即常山之蛇，是中国古代一种传说中的蛇，一般是兵家在演绎阵法时所运用的具体比喻物。
吠陀	吠陀（，又译为韦达经、韦陀经、围陀经等），是婆罗门教和现代的印度教最重要和最根本的经典。
田径	田径（英语：Track and Field其中 Track 指径赛，Field 指田赛。
吕兰	吕兰（Lullin，lylɛ̃；Lelyin）是法国上萨瓦省的一个市镇，属于托农莱班区。
五毒	五毒，（有时被称为五蠹），五毒是指蜈蚣、毒蛇、蝎子、壁虎和蟾蜍，这五种有毒动物合称五毒。
苦绳	苦绳（学名：Dregea sinensis）是夹竹桃科南山藤属的植物，是中国的特有植物。
地猿	地猿（Ardipithecus）是人科中非常早期的一属，生存在440万年前的上新世早期。
铜损	铜损（Copper loss）是指变压器绕线或是其他电子设备上，因导线流过电流产生的热。
苏屋	苏屋（So Uk）是香港九龙西北部的深水埗区长沙湾北部的一个地方名称，以青山道与其分界。
空拍	空拍，或称航拍、空中摄影或航空摄影，是指从空中拍摄地球地貌，获得俯视图，此图即为空照图。
精炼	精炼是将物质进行提纯的过程，主要是指对自然资源中可用的部分进行纯化，使其能更好地被利用。
孙和	孙和，字子孝，是中国三国时期吴国第一位皇帝孙权的第三子，也是吴国最后一位皇帝孙皓的父亲。
护级	护级，或称保级，是一个足球术语，意思是在联赛战至季尾，在降班线上徘徊而挣扎的球队和形势。
岩切	岩切是位于日本宫城县仙台市宫城野区、多贺城市的大字、町丁，对应于旧宫城郡岩切村的一部分。
接种	接种是将病原体、微生物或病毒植入人体或其他生物体的行为，用来人工诱导对传染病产生免疫力。
汶纳	汶纳（บุนนาค，Bunnak，بوناگ）是拉达那哥欣王国早期的一个波斯裔贵族家庭。
桥姬	桥姬（桥姫 はしひめ）是日本的妖怪（算是一种被神格化的妖怪）、神祇，属于日本水妖和水神。
杨敞	杨敞，西汉弘农郡华阴人，他是赤泉侯杨喜之曾孙，司马迁的女婿，杨敞后官至丞相，受封安平侯。
喜饼	喜饼，又称嫁女饼、囍饼，是汉字文化圈传统婚礼中男家在纳征（过大礼）时送给女家作聘礼的饼。
谢票	谢票，是指在选举中得到选票的候选人答谢投其票之选民的行为，这种行为在香港或台湾比较常见。
超萉	超萉是一种非常大的多环芳香烃，化学式为C96H30。它可以视作由三个稠合的六苯并蒄组成。
硒吩	硒吩是一种不饱和有机化合物，它的五元环中含有硒，其化学式为C4H4Se。它是一种金属唑。
淄河	淄河，古称淄水，是位于山东省的一条河流。 概况 上源有石马、南博山、夏庄、池上4条河流。
胸腺	胸腺是动物的初级淋巴器官。人体内的其中一种腺体，部分骨髓免疫细胞（例如T细胞）在此成熟。
孔克	孔克（Conques，kɔ̃k；Concas）是法国阿韦龙省的一个旧市镇，属于罗德兹区。
善存	善存（Centrum）是葛兰素史克公司的食品级的多重补充维他命的品种，创立于1978年。
顾犇	顾犇（12月11日），生于中国上海，是一位图书馆员、翻译、图书馆学研究员、全国政协委员。
欧诺	欧诺（Auneau，ono）是法国厄尔-卢瓦省的一个旧市镇，位于该省东部，属于沙特尔区。
红5	红5是一种广泛流传于中国安徽省大别山区民间（特别是安徽省安庆市太湖县）的一种扑克牌游戏。
鲜堡	鲜堡，英文名：Freshness Burger，是一家日本快餐连锁店，于1992年成立。
涝河	涝河是中国陕西省境内的一条河流，古称潦水，是渭河的一条支流，发源于鄠邑区秦岭梁的静峪脑。
妈妈	妈妈，晚餐吃什么？（ママ、ごはんまだ?）是一青妙所著书《日本妈妈的台菜物语》改编的电影。
盂县	盂县是中国山西省阳泉市所辖的一个县。总面积为2439平方公里，2002年人口为29万人。
噜摩	噜摩（रुमा，IAST：Rumā）是印度史诗《罗摩衍那》中的角色，为猴王须羯哩婆妻子。
和铜	和铜（708年正月十一—715年九月初二）是飞鸟时代、奈良时代元明天皇、元正天皇的年号。
打闹	打闹，又称战斗游戏，是在人类或动物之间存在的一种行为，通常是有两个或两个以上的同伴参与。
偏好	偏好是实际潜藏在人们内心的一种情感和倾向，它是非直观的，引起偏好的感性因素多于理性因素。
我不	我不是女神 是香港女艺人兼歌手简淑儿一首2017年推出的单曲，由伍乐城作曲，张楚翘填词。
丛震	丛震（2月9日）是一名中国足球运动员，目前被中国超级联赛球队上海申花队租借至天津津门虎。
海通	海通（学名：Clerodendrum mandarinorum）是马鞭草科大青属的植物。
夯土	夯土是一类建筑材料。表示红泥、粗砂、石灰块的三合土中的空隙经过夯实的动作之后变得更结实。
实习	实习，是学生到企业、政府部门或其他组织等进行实践的一个过程，目的是为以后的工作做好准备。
死产	死产，或称为胎死腹中，通常定义是在怀孕之后的胎儿死亡。描述胎儿在母体子宫内即死亡的现象。
延历	延历（782年9月30日~806年6月8日）是日本的年号之一，指的是天应之后、大同之前。
帕雅	帕雅（phja），又作叭，为傣语音译（其原意为“官”），是历史上西双版纳傣族的头人称号。
脱县	脱县，是明代交阯承宣布政使司谅山府七源州下辖的一个县，后陷入安南，治所约在今越南脱朗县。
题干	题干（Vignette）是指在考试、测验或工作纸的题目中，当有多题题目需参阅的共同内容。
家燕	家燕（Hirundo rustica），又名拙燕，是燕科燕属的一种鸟类，分布于世界各地。
鼓点	鼓点是指利用鼓组和其他敲击乐器演奏的节奏乐句，或重复节奏，以此来建立节拍和Groove。
尾堑	尾堑（台湾话：Bué-tsām），是台湾宜兰县三星乡的一个传统地域名称，位于该乡东北部。
南里	南里（South Lane）是香港的一条街道，位于香港岛的石塘咀。南里连接山道和日富里。
殿试	殿试是古代中国科举制度中最高一级的考试，由唐高宗首创于显庆四年（659年），但规模不大。
法规	法规（Statute；制定法）是由立法机关正式明文写成的律例，用以管治国家、城市或地方。
薯莨	薯莨（学名：Dioscorea cirrhosa Lour.）是薯蓣科薯蓣属的一种植物。
怀德	怀德（Moses Clark White，10月24日）是美以美会派往中国的先锋传教士。
孟乃	孟乃是缅甸掸邦孟乃镇区下辖的一个镇。“孟”（Möng）与“勐”（Mueang）意义相同。
钦邦	钦邦（ချင်းပြည်နယ်‌）是缅甸的一个邦，位于该国西北部。以南北向高山谷地为主。
楠伯	楠伯（Nambour）是澳大利亚昆士兰州城镇，位于该州东南，距州首府布里斯本101公里。
糊名	糊名，又称弥封、暗考、封弥，是科举一种遮掩考生的名字以减少批卷者认出撰卷人的机会的做法。
得物	得物，原名「毒」，是中华人民共和国上海市上海识装信息科技有限公司推出的一个电商手机应用。
诚信	诚信是指诚实的做法，并表现出对道德、伦理原则和价值观在思想和行动上的一贯和不妥协的坚持。
赤羚	赤羚（学名：Kobus kob）是一种分布于从塞内加尔至苏丹共和国撒哈拉以南非洲的羚羊。
房烷	房烷（Housane）是一种饱和的双环烷烃，化学式为C5H8。在室温下为无色挥发性液体。
扬越	扬越，又称扬粤，是先秦百越部族的一个分支，活动区域在长江中下游，因居住在古代扬州而得名。
更兴	更兴（530年六月－532年十二月，或作更新）是北魏的君主汝南王元悦的年号，共计2年余。
任脉	任脉（Ren Meridian，RN）是一条经脉，“奇经八脉”之一，与督脉并称任督二脉。
四唑	四唑（Tetrazoles）是一种杂环化合物，含有一个由四氮的五元环，化学式CN4H2。
徜徉	徜徉（Linger）是艾迪塔·歌娳娅的第二张专辑和第一张国际专辑艾迪塔的第五支派台单曲。
胡班	胡班，是《三国演义》中的虚构人物，汉桓帝时议郎胡华之子。 胡班开始是荥阳太守王植的从事。
鸟喙	鸟喙，又称鸟嘴，简称喙或嘴是鸟类上下颌包被的硬角质鞘，相当于哺乳动物吻突、唇和齿的功能。
端基	端基（end group，terminal group）是聚合物合成与示性中重要的概念。
擂茶	擂茶是客家菜中一种介于茶饮和粥之间的糊类食物，把茶叶、谷物和其他食材磨碎后冲入热水食用。
保密	保密，又称保守机密、守秘义务，是一个法律及伦理上的概念，指避免重要资料向公众泄密的操守。
皇初	皇初（394年五月-399年九月）是十六国时期后秦君主文桓帝姚兴的第一个年号，共计6年。
筷子	筷子是一种起源于古中国的食具，古汉语称箸、𬂩提。用于将食物夹起并送入口中，或者用作炊具。
香猪	香猪是中国地方猪品种，又称萝卜猪、珍珠猪，属脂肪型猪种。香猪在中国猪种中归为华南型猪种。
红肠	红肠是一种源自立陶宛、外观呈枣红色的香肠，肠体干燥，肠衣表面有均匀皱纹，具有烟熏的风味。
阿青	阿青是金庸武侠小说《越女剑》的女主角，是越国一名牧羊女，是金庸小说中剑术最为顶尖的高手。
望柱	望柱是中国传统建筑构件称谓，狭义上指栏杆柱，是栏板和拦板之间的短柱。望柱有木造和为石造。
白凤	白凤是日本飞鸟时代的私年号（日本书纪所无的年号），散见在寺社缘起、地方的地志、历史书等。
醉猿	醉猿（Dionysopithecus）是一属史前的灵长目，生存在中新世的中国及巴基斯坦。
霸鹟	霸鹟是雀形目霸鹟科（Tyrannidae）下的鸟类，主要生活在北美洲及南美洲的热带地区。
雷扎	雷扎（Rezza，ʁɛtsa；a Reza）是法国南科西嘉省的一个市镇，属于阿雅克肖区。
白帝	白帝，是中国古代传说中五帝之一，掌管天下的西方，亦是古代帝王及宗庙所祭祀的主要对象之一。
有姓	有姓是中文姓氏之一，在《百家姓》中排第481位。在现代是极罕见的姓氏，仅3,000多人。
海鸟	海鸟是一种能够适应海洋气候环境的鸟类，而无论于生活习惯、生理运行等皆与其他鸟类大有不同。
郦学	郦学是指针对郦道元的《水经注》的研究，一般可分三大学派：考据学派、词章学派以及地理学派。
流域	流域是以分水岭为界的一个河流、湖泊或海洋等的所有水系所覆盖的区域，以及由水系构成的集水区。
舔肛	舔肛，又称舐肛，是口交的一种形式，指性行为中一方以口（唇、舌）接触另一方肛门以进行性刺激。
卢姓	卢姓是汉姓之一，在《百家姓》排名第167位，在中国大陆人口排名65（2006年统计数据）。
猛虎	猛虎（もうこ）是日本将棋的棋子之一，有别于本将棋以外的平安大将棋、大大将棋及大局将棋出现。
秦王	秦王是指秦国（战国）或者十六国时前秦、后秦、西秦的君主。其它朝代也以秦王或秦国王作为封号。
处暑	处暑，是二十四节气之一，在8月23日前后（22日～24日），斗指申，太阳到达黄经150°。
火男	火男是日本一种传统的面具，形似中年男性，造型非常古怪滑稽，常在一些地方性的传统祭典中使用。
腹地	腹地（英语：Hinterland；德语：Hinterland）是一个指代区域的地理学名词。
镨钕	镨钕（Didymium），又译钕镨、⿰钅笛、迪迪姆，是以镨和钕为主要成分的稀土元素混合物。
嗉囊	嗉囊是食道中段或后段特化形成的薄壁器官，具有良好的延展性，因此作为食物在消化前的储存场所。
佤语	佤语是佤族所使用的语言，按照世界语言谱系分类法，属南亚语系卡西—克木语族佤德昂语支的语言。
照塔	照塔，位于北京市房山区大石窝镇塔照村东的山巅，是北京市文物保护单位。 简介 照塔建于辽朝。
班卡	班卡（Banka），是印度比哈尔邦Banka县的一个城镇。总人口35416（2001年）。
中殿	中殿（Nave）是在罗曼式和哥特式的基督教隐修院、主教座堂巴西利卡和教堂建筑中的主体构造。
华美	华美是一只雌性大熊猫，1999年8月21日出生于美国圣地亚哥动物园，父母分别为石石和白云。
狂猎	狂猎（Wild Hunt）是一个欧洲民间神话，关于一群幽灵般或超自然的猎人在野外追逐猎物。
德赛	德赛（Deshaies，deɛ；Déhé）是法国海外省瓜德罗普的一个市镇，属于巴斯特尔区。
马绰	马绰，是五代十国时期吴越国官员，余杭（今浙江省杭州市）人。 马绰性情淳厚耿直，有远见卓识。
门挡	门挡（也称门塞、门阻或门楔）是一种用于保持门打开或关闭的物体或装置，或用于防止门开得过大。
短袜	短袜是袜子的一种，长度最长到脚踝上2~3公分，穿著时包覆整个脚踝，大部分是棉质或尼龙制成。
海棠	海棠是中国对一些植物的俗称，主要分为西府海棠、贴梗海棠、垂丝海棠、木瓜海棠，并称海棠四品。
视崖	视崖（visual cliff）是发展心理学的一个著名实验，用来研究人类和动物的深度知觉。
水刑	水刑是指使用水的刑罚的总称，通常是使用水来造成人窒息、水中毒、失温或是用热水浇灌造成烫伤。
永延	永延（987年5月5日~989年9月10日）是日本的年号。使用这年号之日本天皇是一条天皇。
利迈	利迈（Limay，limɛ）是法国中北部法兰西岛大区伊夫林省的一个市镇，属于芒特拉若利区。
虎鼬	虎鼬（学名Vormela peregusna）是一种鼬科的小型哺乳动物，是虎鼬属唯一一种。
飞跃	飞跃（Feiyue）是一个运动鞋品牌，源自1920年代的上海。国际商标权则目前为法国所有。
中角	中角，是新北市金山区的一个地名，位于该区北部，范围大致包括永兴里、西湖里、万寿里，清泉里。
糖果	糖果，又称饴，是一种糖果糕点，指以糖类为主要成份的零食。在欧美国家，口香糖有时也属于糖果。
滑梯	滑梯（广东话称为瀡滑梯）是儿童游乐场常见的设施，也见于一些游泳池，游泳池的滑梯称为滑水道。
津城	津城（つじょう）是位在三重县津市的一座城，别名安浓津城（あのつじょう）。为三重县指定史迹。
教如	教如（Kyonyo），或称本愿寺教如，讳光寿，是净土真宗（一向宗）东本愿寺派第12代法主。
殷歌	殷歌（Angela Yin，3月22日）是中国的时尚模特儿，她是中国明日超模第一季的冠军。
地影	地影（Earth's shadow），又称地球阴影或暗段，是地球本身投射在大气层上的影子。
冰藻	冰藻是生长在常年或多年冰封海域及陆冰区域的藻类，其对极地海洋海冰的初级生产起着重要的作用。
章武	章武（四月）是三国时期蜀汉的君主汉昭烈帝刘备的年号，共计3年。这也是蜀汉政权的第一个年号。
十湖	十湖，又称十壶，是中国清朝叶子戏的一种玩法。 历史 十湖流行于清朝江南地区，是碰和的一种。
水刀	水刀（Water jet cutter）是将水流以高压方式喷出的水柱去切割物体的一种工具。
寗随	寗随（部分版本作「宁随」，音同「宁」），《三国演义》的虚构人物，在《演义》中是姜维的副将。
花柱	花柱（style），是花中雌蕊的一部分，连接柱头与子房。花柱通常为管状，并可为空心或实心。
陋龙	陋龙（学名"Ugrosaurus"）是角龙亚科恐龙的一属，生存于上白垩纪的麦斯特里希特阶。
泰铢	泰铢（บาท，符号：฿，ISO 4217码：THB）是泰国的官方货币，由泰国银行负责发行。
捣衣	捣衣，是把刚织好的织物或洗过一遍的衣，平铺在光滑的砧板或石板上，用木棒或杵用力敲击的程序。
拉回	拉回（pullback）是数学中一个基本概念，涉及到两个不同但关联的程序：预复合与纤维积。
弘武	弘武（1619年四月；清代避讳改作洪武），是明朝万历时期起事领袖李新的年号，前后共1个月。
衬衫	衬衫（Shirt），又名衬衣、裇衫（分化自恤衫），是一种穿在西装里面的上衣，亦可单独穿用。
山号	山号（山号）是佛教寺院的称号，例如「金龙山浅草寺」、「东叡山寛永寺」、「三缘山增上寺」等。
东夏	东夏（1215年－1233年）是13世纪初蒲鲜万奴在今中国东北及俄罗斯远东建立的一个国家。
博姆	博姆（Bommes，bɔm；Bòmas）是法国新阿基坦大区吉伦特省的一个市镇，属于朗贡区。
毛龙	毛龙，是中国传说的怪龙，记载于《拾遗记》在南国有洞穴阴源里,其下通地脉,里面有毛龙和毛鱼。
白眼	白眼是指眼珠向上，让眼白露出的表情，用来表示鄙视或忽视。 定义 「白眼」是瞧不起人的意思。
九宫	九宫是指将天宫以井字划分九个等份，在晚间从地上观天的七曜与星宿移动，可知方向及季节等资讯。
原姓	原姓是一个中文姓氏。 人口 中国姓氏排行第二百七十三位，约占全国汉族人口的百分之零点零二。
依沙	依沙（Hisah，Hokr el Haïssa；حيصا）是位于黎巴嫩阿卡省的一个行政村。
桐国	桐国是先秦的一个小型诸侯国，在今安徽省桐城市北和潜山县一带。 《路史》引用《世本》作空桐。
单篇	单篇（読み切り、読切；One-shot），是指漫画或小说等文学刊行一次就完结的非连载作品。
苍鹰	苍鹰（学名：Accipiter gentilis），别名牙鹰，是鹰科鹰属中一种中型的猛禽。
背弩	背弩，又名紧背低头花装弩，简称花装弩，是机括类暗器的一种，使用时只需弯腰低头就可发射箭矢。
冲量	冲量（英语：impulse，也可被标作 或 Imp）是作用在物体上的力在时间上的累积效果。
圣卢	圣卢（Saint-Loup，sɛ̃ lu）是法国罗讷省的一个旧市镇，属于索恩河畔自由城区。
弘仁	弘仁（810年10月20日－824年2月8日）是日本的年号之一，指的是大同之后、天长之前。
十两	十两，正式名称十枚目，是日本大相扑力士的一种位阶，是位于幕下之上，幕内之下的高阶相扑力士。
偷窥	偷窥是指在未经他人同意的情况下暗中偷看别人私隐的行为，包括偷看别人穿衣服，偷看别人裙底等。
壶穴	壶穴是在河流上游经常出现的一种地理特征。由于雨水令河水流量增加，带动上游的石块向下游流动。
冰帆	冰帆是一种冰上运动项目，冰船在冰上航行和比赛。冰帆运动场地在冰上，而且冰地面积要求比较大。
受膏	受膏（亦称傅油、涂油）是用芳香的油、奶、水或其他物体，倾倒或涂抹，为许多宗教和种族所采用。
伊雷	伊雷，原名伊柏麟，香港喜剧演员，是香港粤语长片年代的喜剧明星伊秋水之子，演员江华为其外甥。
一生	一生（Une vie），或译女人的一生，是法国作家莫泊桑于1883年创作并发表的长篇小说。
货船	货船（也称货轮、货运船，cargo ship）是用作载运货物的轮船。船体通常采用钢材制造。
养和	养和（1181年8月25日－1182年6月29日）是日本的年号。这个时代的天皇是安德天皇。
大细	大细是一种常见的投注彩池，一般由庄家设定球盘数及赔率，然后让投注者下注较盘数大或小的选项。
极优	极优（GU）是日本的服装设计、制造和零售的公司。与UNIQLO都为迅销集团的全资附属公司。
莱奇	莱奇（Lecci，lɛtʃi；I Licci）是法国南科西嘉省的一个市镇，属于萨尔泰讷区。
姑母	姑母是中文中亲属称谓，指父亲的姐姐或妹妹，或可简称姑。她们的丈夫则称为姑父、姑爹、姑丈等。
朝圣	朝圣是宗教或灵性生活寻觅灵性意义的过程，通常是到一处圣地或者是对某人信仰有重要意义的地方。
准校	准校（Секунд-майор），是俄罗斯帝国陆军曾经使用的一种军衔，为校官中的最低级别。
帅升	帅升，亦作师升，是日本弥生时代中后期的倭国王，也是日本历史上最早出现在历史文献记载的人物。
国司	国司是日本古代地方一级行政单位令制国的行政官僚，由朝廷派遣赴任，分为守、介、掾、目四等官。
匀酒	匀酒是贵州都匀出产的一种以高粱、稻谷、小麦、绿豆、甜荞麦等作为原料，酱头浓尾的兼香型白酒。
桥脑	桥脑（拉丁语: Pons）是脑干的一部分，在人和两足动物位于中脑下方、延脑上方、小脑前方。
德拜	德拜（符号为D）是一种CGS制的矢量单位。 它是偶极矩（或称电偶极矩）的非国际标准单位（。
梨酒	梨酒（Poiré，Perry），又称梨西打，是一种法国的传统酒精饮料，使用发酵过的梨制成。
药匙	药匙（medicine spoon）是一种在化学实验中，用来拿取、移送少量固体试剂的勺子。
沼鹿	沼鹿（学名：Rucervus duvaucelii），又名泽鹿，是原住于印度及尼泊尔的鹿。
摩的	摩的，即摩托车的士，是以改装型摩托车作为出租营运的工具车，是一种在中国大陆普遍存在的现象。
超达	超达（Xstrata），又称斯特拉塔，是一家跨国公司，2013年5月2日被嘉能可公司收购。
元象	元象（538年正月—539年十一月）是东魏孝静帝元善见的第二个年号，由大丞相高欢总理朝政。
应和	应和（961年3月5日~964年8月19日）是日本的年号。使用这年号之日本天皇是村上天皇。
桩脚	桩脚，是指选举中在基层为候选人拉票的工作人员，多为对该地方的政治熟悉并有一定影响力的人士。
声乐	声乐是由一个或多个歌手表演的音乐形式之一，以人声为主要表演重点。以声乐为业的人称为声乐家。
锐步	锐步（Reebok）是一家英国的体育用品公司，主要是运动鞋、运动服、球类或球具等的生产商。
蟹围	蟹围（カニ囲い、かにがこい）是日本将棋的围玉之一，用于居飞车及二枚落让子局的二步突切定迹。
赫本	赫本，是冰岛南部区霍尔纳菲厄泽市镇内的一个渔镇，邻近Hornafjörður与瓦特纳冰原。
软法	软法（soft law）是相对于硬法而言的，是指那些不能运用国家强制力保证实施的法律规范。
金雳	金雳（Gimli），是英国作家约翰·罗纳德·鲁埃尔·托尔金的史诗奇幻小说《魔戒》中的人物。
回滚	回滚（rollback）是数据库技术中的操作，放弃修改，使数据库状态恢复到此前的某个时刻。
菊酒	菊酒，又称菊花酒，是加入菊花或菊叶的酒，传统上在重阳节饮用，也被誉为祛灾祈福的“吉祥酒”。
炒面	炒面，是指将面条快炒出来的面类料理，口味以酱油为主，主要分为上海炒面、广东炒面和日式炒面。
北礁	北礁（英语：North Reef），是西沙群岛最北的珊瑚岛礁，故名。中国渔民俗称「干豆」。
流沙	流沙是指饱水的疏松砂性土，特别是粉砂和细砂土，在震动力或水动力作用下发生液化、流动的现象。
痰盂	痰盂，又名痰罐、痰壶、痰桶、唾壶、唾盂，是一种专门用来收集吐痰时吐出来的唾液或痰涎的器皿。
官地	官地（Crown land）是指属于官方的土地，主要用于英联邦王国及其他普通法司法管辖区。
瞳人	瞳人是《聊斋志异》里记载的妖怪，出自《瞳人语》，是造成白内障的两个小人。两瞳人会合居一眶。
乐仕	乐仕（Roks Lam，1953年），原名林松荣，是前香港商业电台唱片骑师兼演唱会主办人。
徐庆	徐庆，是古典章回小说《三侠五义》里的一个人物，为陷空岛五鼠之一，排行老三，人称「穿山鼠」。
肯琴	肯琴（波兰语：Kętrzyn、Rastenburg）是波兰瓦尔米亚-马祖里省肯琴县的县治。
元封	元封（前111年十月－前104年四月）是汉武帝的第六个年号。汉朝使用元封这个年号一共七年。
坠饰	坠饰（古法语：pendant），亦作垂饰或吊坠，是指一种可以宽松的垂吊在身上的珠宝或首饰。
韩豆	韩豆（HanDol）是韩国 NHN 娱乐公司开发的一款人工智能围棋程序，诞生于2018年。
哈瑙	哈瑙（Hanau）是德国黑森州的城市，位于莱茵河与美因河流域，金齐希河汇入美茵河的交汇处。
瑞列	瑞列（Jullié，ʒylje；Juliê）是法国罗讷省的一个市镇，属于索恩河畔自由城区。
隐带	隐带（Zone of Avoidance）是天空中被地球所在的银河系遮蔽而难以观测的区域。
鸭梨	鸭梨（学名：Pyrus × bretschneideri），又名白梨、鸭嘴梨，是一种水果。
凌智	凌智是一名中国男子冰壶运动员。他代表中国参加2022年冬季奥林匹克运动会混合双人冰壶比赛。
下焦	下焦，中医人体部位名，是三焦之一。 下焦即三焦的下部，指下腹腔自胃下口至二阴（阳明）部分。
雁属	雁属（学名：Anser）是雁形目鸭科的一个属。 特征 雁属的鸟飞行时拍打用力，振翅频率高。
猪属	猪属（学名：Sus），是哺乳纲偶蹄目猪科的一属，杂食类动物，包括10种左右，产于欧亚大陆。
1月	1月是公历年中的第一个月，是全年第一个大月，共有31天。 在北半球，1月是冬季的第二个月。
千佛	千佛是大乘佛教的一种佛像的类型，由多个呈坐姿或站姿的小佛像组成，形式包括千佛造像和千佛图。
生灵	生灵（いきりょう、しょうりょう、せいれい、いきすだま）是活著的人的灵魂出窍。对义的是死灵。
太兴	太兴（431年正月—436年五月）是十六国时期北燕政权，北燕昭成帝冯弘的年号，共计5年余。
四谷	四谷是日本东京都新宿区的一个地区、町名。町名记为四谷，站名以「四ツ谷」、「四ッ谷」为表记。
铬酸	铬酸，化学式为H2CrO4，是三氧化铬溶于硫酸以及铬酸盐/重铬酸盐酸化时生成的化合物之一。
开瑞	开瑞是中国汽车制造商奇瑞旗下专攻商用车的子品牌，于2009年建立。主要生产面包车及商务车。
关赫	关赫（英语：Gwaihir），是托尔金奇幻文学中土大陆里的角色，为巨鹰之王，又称「风王」。
高堡	高堡（Vyšehrad），是一座位于捷克的城堡，建立于10世纪，坐落于伏尔塔瓦河边的山丘上。
酷邮	酷邮是以VC开发运行在Windows系列操作系统上的邮箱客户端，于2007年正式改名为酷邮。
树干	树干，是指树木分枝以下的主轴部分，为树木的主要茎干，木质，范围由地面开始向上到分为树枝为止。
菊酸	菊酸（chrysanthemic acid）是和各种天然或合成杀虫剂有关的有机化合物的一种。
